CAN,0010100100000010
ALWAYS,0010101011001100
SAW,0010100011001100
NOTHING,0010100110001100
BEING,0010100100001100
MADE,0010100000001100
RUSSIAN,0010101000010100
RIGHT,0010100111100100
KUTUZOV,0010100001000100
THOUGH,0010101111111000
YOUNG,0010100111111000
LOVE,0010100011111000
SUDDENLY,0010100000011000
OFF,0010101010101000
VOICE,0010100000101000
ROUND,0010100011001000
US,0010101110001000
SMILE,0010101011010000
MOMENT,0010100011010000
SONYA,0010101110010000
OFFICER,0010101100010000
TOLD,0010101000010000
KNEW,0010100000010000
NEVER,0010101001100000
EVERYTHING,0010101100100000
WHOM,0010101100000000
WHILE,0010100000000000
TOOK,00101110011111111
MUCH,00101100011111111
WORDS,00101100101111111
LOOKING,00101101001111111
HOUSE,00101110001111111
TOO,00101100001111111
TURNED,00101101000011111
DEAR,00101111111101111
GOOD,00101111011101111
THROUGH,00101110101101111
LET,00101111100101111
TELL,00101101100101111
QUITE,00101100100101111
UNDER,00101101111001111
SOLDIERS,00101100000001111
DENISOV,00101101011110111
ONCE,00101110011010111
THINK,00101100011010111
GET,00101111110010111
BATTLE,00101100101111011
TAKE,00101111110111011
EVIDENTLY,00101100110111011
UNDERSTAND,00101111010111011
LAST,00101101010111011
SAT,00101111101011011
YET,00101110010011011
EVERY,00101101111001011
DOOR,00101111001001011
FATHER,00101101001001011
HERSELF,00101110010001011
ALREADY,00101101100001011
MOST,00101110011010011
FEELING,00101101101000011
GOING,00101101001000011
MIGHT,00101101010000011
OH,00101101100000011
BEHIND,00101101011111101
PLACE,00101111101111101
STOOD,00101100001111101
OTHERS,00101110110111101
GAVE,00101101000101101
DONE,00101101111001101
REPLIED,00101110011001101
EXPRESSION,00101100011001101
WAR,00101101010001101
SIDE,00101100010001101
ORDER,00101101000001101
ANYTHING,00101101010110101
ANNA,00101111100110101
POSITION,00101110000110101
TOWARD,00101100000110101
BORIS,00101101010010101
MAY,00101111111100101
SEEN,00101110100100101
COMMANDER,00101100100100101
HORSE,00101101000100101
NEW,00101110000100101
DOLOKHOV,00101111011111001
GIVE,00101111010111001
MAKE,00101110111101001
PUT,00101110101001001
THATS,00101111110001001
ALSO,00101101110001001
FRONT,00101111011111110
GREAT,00101110000111110
GOD,00101100000111110
HORSES,00101100001011110
TROOPS,00101110010011110
HANDS,00101100010011110
RAN,00101110000011110
BOTH,00101101110110110
THREE,00101110111111010
SOON,00101110100111010
OFFICERS,00101100100111010
TALK,00101110000111010
WANT,00101100011101010
SHALL,00101110110110010
PETYA,00101111100110010
SHOUTED,00101110000110010
ILL,00101100000110010
WIFE,00101110011100010
TAKEN,00101100011100010
PETERSBURG,00101100101100010
BETWEEN,00101101011000010
CHIEF,00101111100000010
ALONE,00101101100000010
PART,00101100101101100
SAYING,00101100001101100
MANY,00101111010101100
WORD,00101101010101100
THINGS,00101100111001100
LETTER,00101101100001100
WHETHER,00101111000001100
SON,00101111010010100
CALLED,00101100100010100
ALONG,00101100000010100
MIND,00101111111100100
DURING,00101111101000100
SENT,00101101101000100
THING,00101110101000100
AGAINST,00101111001000100
FOUND,00101101001000100
TABLE,00101110000000100
RODE,00101100000000100
REGIMENT,00101111011111000
SITTING,00101101001111000
NIGHT,00101100001111000
EVERYONE,00101111011011000
ROSTOVS,00101111110011000
AMONG,00101101110011000
QUESTION,00101110110011000
CONTINUED,00101111000011000
DAYS,00101101000011000
VASILI,00101111110101000
